Dataset,Disease,Tissue,Cell_type,CpG,Direction
GSE157341,Liver Cancer,liver,Chol,cg00021783,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00029640,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00082235,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00087963,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00098144,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00164949,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00208218,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00216061,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00232827,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00281664,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00319761,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00369852,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00376735,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00399059,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00432454,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00491255,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00566187,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00599850,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00605523,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00639215,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00679184,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00700239,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00733728,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00922310,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00967854,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00981443,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00983904,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00992417,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00997280,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01032851,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01128460,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01205935,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01262413,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01275887,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01302201,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01310019,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01321088,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01382688,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01457169,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01525538,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01577475,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01579289,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01629435,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01641136,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01657758,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01723606,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01734772,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01752978,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01782059,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01791000,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01793368,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01829342,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01935405,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01971181,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01979888,Hypo
GSE157341,Liver Cancer,liver,Chol,cg01998089,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02056794,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02118886,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02172028,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02277520,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02296992,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02301527,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02329386,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02458113,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02478828,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02482730,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02556649,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02614683,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02660643,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02685680,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02715115,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02821464,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02863087,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02872476,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02883503,Hypo
GSE157341,Liver Cancer,liver,Chol,cg02971328,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03008204,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03048083,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03099728,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03118417,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03159947,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03175653,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03186993,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03304815,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03325598,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03375453,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03468945,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03499905,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03502812,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03538383,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03606898,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03654391,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03695448,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03743720,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03756778,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03833068,Hypo
GSE157341,Liver Cancer,liver,Chol,cg03950614,Hypo
GSE157341,Liver Cancer,liver,Chol,cg04085768,Hypo
GSE157341,Liver Cancer,liver,Chol,cg04124457,Hypo
GSE157341,Liver Cancer,liver,Chol,cg04194054,Hypo
GSE157341,Liver Cancer,liver,Chol,cg04220579,Hypo
GSE157341,Liver Cancer,liver,Chol,cg04566694,Hypo
GSE157341,Liver Cancer,liver,Chol,cg04614823,Hypo
GSE157341,Liver Cancer,liver,Chol,cg04652441,Hypo
GSE157341,Liver Cancer,liver,Chol,cg04720283,Hypo
GSE157341,Liver Cancer,liver,Chol,cg04746199,Hypo
GSE157341,Liver Cancer,liver,Chol,cg04877287,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05057352,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05070742,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05163177,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05207620,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05212664,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05215748,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05219493,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05286196,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05346193,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05361096,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05388880,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05396178,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05453924,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05477444,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05479174,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05666820,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05709782,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05754939,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05782454,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05791356,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05798501,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05800014,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05899618,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05903720,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05977156,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05985447,Hypo
GSE157341,Liver Cancer,liver,Chol,cg05991442,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06053376,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06267617,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06270206,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06297023,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06328338,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06374811,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06378494,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06403317,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06419959,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06638795,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06658821,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06803257,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06933824,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06966245,Hypo
GSE157341,Liver Cancer,liver,Chol,cg06989253,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07004820,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07065008,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07072463,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07196426,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07225966,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07267550,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07475178,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07479618,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07485775,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07554771,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07556730,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07591090,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07636037,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07661480,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07688052,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07812289,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07891457,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07923390,Hypo
GSE157341,Liver Cancer,liver,Chol,cg07985864,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08015702,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08037817,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08115732,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08158518,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08220753,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08304084,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08351085,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08451957,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08464208,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08550881,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08551333,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08555866,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08622675,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08629856,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08766762,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08842032,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08873940,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08875705,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08903089,Hypo
GSE157341,Liver Cancer,liver,Chol,cg08964780,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09012544,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09017718,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09099868,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09126720,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09198138,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09287629,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09304968,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09440270,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09477407,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09533178,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09570614,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09575189,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09642740,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09677252,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09706277,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09784932,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09884635,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09911521,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09917506,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09976989,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09977718,Hypo
GSE157341,Liver Cancer,liver,Chol,cg09990962,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10030658,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10094994,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10152624,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10172584,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10184886,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10245988,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10246081,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10334767,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10380312,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10402804,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10433625,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10438282,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10490795,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10491546,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10505257,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10507988,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10516998,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10676327,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10798682,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10925829,Hypo
GSE157341,Liver Cancer,liver,Chol,cg10975863,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11152033,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11160572,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11248999,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11344073,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11358945,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11479877,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11575912,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11654118,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11787288,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11814672,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11835512,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11846580,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11849692,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11911286,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11949060,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11956467,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11983576,Hypo
GSE157341,Liver Cancer,liver,Chol,cg11992783,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12095397,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12179353,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12181621,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12218368,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12271079,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12362629,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12434587,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12481266,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12499316,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12550399,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12573502,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12581970,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12593515,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12600174,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12610078,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12651286,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12692386,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12760869,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12789068,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12789935,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12833018,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12880300,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12887128,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12914100,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12961733,Hypo
GSE157341,Liver Cancer,liver,Chol,cg12993642,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13053914,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13131095,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13222081,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13231302,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13307451,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13327545,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13549497,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13600716,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13679216,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13738327,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13767778,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13770573,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13781149,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13803234,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13804476,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13850871,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13874777,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13876222,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13887180,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13912224,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13920336,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13923277,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13969273,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13982366,Hypo
GSE157341,Liver Cancer,liver,Chol,cg13986355,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14001893,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14014225,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14021572,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14032261,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14118839,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14129589,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14207921,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14239592,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14264994,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14299480,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14334350,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14344989,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14349144,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14373380,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14412891,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14477471,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14659008,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14685095,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14694342,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14702215,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14826425,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14988680,Hypo
GSE157341,Liver Cancer,liver,Chol,cg14992273,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15026574,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15120497,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15152201,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15195292,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15225532,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15229454,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15308737,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15433043,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15520279,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15555527,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15619820,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15676405,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15708405,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15821544,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15847996,Hypo
GSE157341,Liver Cancer,liver,Chol,cg15992935,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16045355,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16096631,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16208395,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16233074,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16239278,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16245868,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16247183,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16457413,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16485385,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16513459,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16515546,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16547027,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16566899,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16574155,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16592149,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16616467,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16616769,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16617758,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16645344,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16663900,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16732787,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16797514,Hypo
GSE157341,Liver Cancer,liver,Chol,cg16871519,Hypo
GSE157341,Liver Cancer,liver,Chol,cg17052926,Hypo
GSE157341,Liver Cancer,liver,Chol,cg17187167,Hypo
GSE157341,Liver Cancer,liver,Chol,cg17279079,Hypo
GSE157341,Liver Cancer,liver,Chol,cg17335494,Hypo
GSE157341,Liver Cancer,liver,Chol,cg17478827,Hypo
GSE157341,Liver Cancer,liver,Chol,cg17629264,Hypo
GSE157341,Liver Cancer,liver,Chol,cg17760049,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18015301,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18015809,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18038269,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18086520,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18100153,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18121224,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18152871,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18199266,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18247055,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18252855,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18254356,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18254364,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18267790,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18407752,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18442524,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18447772,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18517266,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18525316,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18552861,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18708598,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18751958,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18792528,Hypo
GSE157341,Liver Cancer,liver,Chol,cg18809706,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19021188,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19120782,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19212465,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19216563,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19249516,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19265913,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19350133,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19389370,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19403610,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19435835,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19500479,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19678564,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19821713,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19883472,Hypo
GSE157341,Liver Cancer,liver,Chol,cg19904058,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20029745,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20047561,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20116828,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20131194,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20319698,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20322977,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20325850,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20358362,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20726282,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20730432,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20785796,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20810125,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20936920,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20950033,Hypo
GSE157341,Liver Cancer,liver,Chol,cg20962746,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21140898,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21229079,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21239001,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21268422,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21332304,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21457147,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21490485,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21565972,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21605238,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21667943,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21789280,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21811204,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21852842,Hypo
GSE157341,Liver Cancer,liver,Chol,cg21865387,Hypo
