CpG,Venn_category
cg07737236,haEWAS-specific
cg07737292,Common
cg07737802,Common
cg07739369,Common
cg07744618,Common
cg07768107,Common
cg07785552,Common
cg07785717,EWAS-specific
cg07788865,Common
cg07807757,Common
cg07808761,Common
cg07812887,Common
cg07813031,Common
cg07816247,Common
cg07820189,Common
cg07823492,Common
cg07824636,Common
cg07824824,Common
cg07839105,Common
cg07841762,EWAS-specific
cg07855221,Common
cg07855319,Common
cg07856521,Common
cg07865091,Common
cg07871971,Common
cg07875786,Common
cg07877900,Common
cg07880727,Common
cg07882648,Common
cg07883124,Common
cg07888661,Common
cg07892167,EWAS-specific
cg07899016,EWAS-specific
cg07906726,EWAS-specific
cg07910065,Common
cg07917150,Common
cg07920381,Common
cg07925670,Common
cg07933176,EWAS-specific
cg07942135,Common
cg07953015,Common
cg07959070,Common
cg07960762,Common
cg07963670,Common
cg07973967,Common
cg07974511,EWAS-specific
cg07984168,haEWAS-specific
cg07996594,Common
cg08000731,Common
cg08003321,Common
cg08011948,EWAS-specific
cg08025954,Common
cg08027123,Common
cg08027484,Common
cg08045906,EWAS-specific
cg08046044,Common
cg08049136,haEWAS-specific
cg08056778,Common
cg08061524,Common
cg08078058,haEWAS-specific
cg08090407,Common
cg08092258,Common
cg08101036,Common
cg08106973,Common
cg08111857,Common
cg08114852,Common
cg08125503,EWAS-specific
cg08129759,Common
cg08136169,Common
cg08139512,Common
cg08140459,Common
cg08154887,Common
cg08161449,EWAS-specific
cg08164294,Common
cg08166729,Common
cg08175609,EWAS-specific
cg08189139,Common
cg08196561,Common
cg08197287,Common
cg08202226,Common
cg08202399,Common
cg08223235,Common
cg08223717,Common
cg08224888,Common
cg08230957,Common
cg08242636,EWAS-specific
cg08255475,Common
cg08264519,Common
cg08274637,Common
cg08281415,Common
cg08283130,Common
cg08287940,EWAS-specific
cg08288130,Common
cg08288818,haEWAS-specific
cg08308032,Common
cg08320359,EWAS-specific
cg08320524,Common
cg08323969,Common
cg08330349,EWAS-specific
cg08336425,Common
cg08353973,Common
cg08358907,EWAS-specific
cg08362144,haEWAS-specific
cg08363067,Common
cg08368973,haEWAS-specific
cg08370178,Common
cg08379738,Common
cg08379987,Common
cg08401872,Common
cg08405093,EWAS-specific
cg08415973,Common
cg08422793,Common
cg08425796,Common
cg08428292,Common
cg08433504,Common
cg08436738,Common
cg08438705,EWAS-specific
cg08452964,Common
cg08458487,Common
cg08464505,Common
cg08467103,Common
cg08473858,haEWAS-specific
cg08474748,Common
cg08480068,Common
cg08481112,Common
cg08486065,EWAS-specific
cg08486903,Common
cg08490659,haEWAS-specific
cg08493063,Common
cg08506869,EWAS-specific
cg08511651,EWAS-specific
cg08531380,EWAS-specific
cg08544331,Common
cg08545593,Common
cg08549241,Common
cg08551615,Common
cg08552214,Common
cg08558340,Common
cg08564601,Common
cg08571918,Common
cg08578641,Common
cg08580187,EWAS-specific
cg08594651,EWAS-specific
cg08610901,Common
cg08628635,Common
cg08634318,haEWAS-specific
cg08638184,Common
cg08657492,EWAS-specific
cg08659179,Common
cg08681293,Common
cg08685085,Common
cg08688548,Common
cg08694923,Common
cg08705942,Common
cg08706567,Common
cg08707536,Common
cg08726863,Common
cg08727352,EWAS-specific
cg08731696,Common
cg08732750,Common
cg08734931,Common
cg08735211,EWAS-specific
cg08737189,EWAS-specific
cg08741842,Common
cg08747557,haEWAS-specific
cg08749305,Common
cg08760493,Common
cg08767044,Common
cg08772942,Common
cg08775230,Common
cg08781728,Common
cg08792703,Common
cg08798685,EWAS-specific
cg08810842,Common
cg08813888,Common
cg08820801,Common
cg08822891,EWAS-specific
cg08824847,Common
cg08827584,Common
cg08842584,Common
cg08845721,Common
cg08846079,Common
cg08852245,Common
cg08854008,haEWAS-specific
cg08855938,Common
cg08857310,Common
cg08860498,Common
cg08862148,EWAS-specific
cg08863939,Common
cg08864042,Common
cg08871545,Common
cg08880369,haEWAS-specific
cg08894532,Common
cg08898055,Common
cg08898775,Common
cg08900409,Common
cg08908247,Common
cg08940490,Common
cg08951051,Common
cg08953403,haEWAS-specific
cg08957564,Common
cg08961287,Common
cg08987251,haEWAS-specific
cg08998657,EWAS-specific
cg09022607,Common
cg09025210,Common
cg09033638,Common
cg09039163,Common
cg09043153,Common
cg09056876,Common
cg09057517,haEWAS-specific
cg09062198,Common
cg09062708,Common
cg09063663,haEWAS-specific
cg09071112,EWAS-specific
cg09072216,EWAS-specific
cg09076123,Common
cg09079275,Common
cg09093656,Common
cg09096031,Common
cg09109520,haEWAS-specific
cg09112081,Common
cg09122593,Common
cg09125300,Common
cg09143663,EWAS-specific
cg09143713,Common
cg09144964,Common
cg09147065,haEWAS-specific
cg09148268,Common
cg09148852,Common
cg09154256,Common
cg09160359,Common
cg09169455,Common
cg09182750,Common
cg09183151,EWAS-specific
cg09187413,EWAS-specific
cg09189896,EWAS-specific
cg09219364,Common
cg09222023,EWAS-specific
cg09229668,Common
cg09233429,Common
cg09233658,Common
cg09234582,EWAS-specific
cg09243811,Common
cg09253473,Common
cg09256413,EWAS-specific
cg09277575,Common
cg09290175,Common
cg09290705,Common
cg09294072,EWAS-specific
cg09298818,haEWAS-specific
cg09315367,Common
cg09316954,Common
cg09320199,Common
cg09328012,Common
cg09332091,Common
cg09334277,EWAS-specific
cg09343092,Common
cg09354692,Common
cg09354949,Common
cg09359351,Common
cg09363604,EWAS-specific
cg09367901,Common
cg09382492,Common
cg09393494,Common
cg09400316,haEWAS-specific
cg09416512,Common
cg09424308,Common
cg09436713,EWAS-specific
cg09445675,haEWAS-specific
cg09447621,Common
cg09448088,Common
cg09450197,Common
cg09456184,EWAS-specific
cg09470754,Common
cg09475796,Common
cg09476997,Common
cg09481537,EWAS-specific
cg09482050,EWAS-specific
cg09482093,Common
cg09490371,Common
cg09498948,Common
cg09502865,Common
cg09510202,Common
cg09522706,Common
cg09522854,EWAS-specific
cg09524229,Common
cg09541256,haEWAS-specific
cg09542997,Common
cg09552892,Common
cg09554856,Common
cg09556826,EWAS-specific
cg09563216,Common
cg09569347,EWAS-specific
cg09574618,Common
cg09575756,Common
cg09577391,Common
cg09577651,Common
cg09582042,haEWAS-specific
cg09586924,Common
cg09595050,EWAS-specific
cg09596958,Common
cg09607679,haEWAS-specific
cg09624565,EWAS-specific
cg09644356,haEWAS-specific
cg09655403,Common
cg09663193,Common
cg09669754,Common
cg09671650,Common
cg09728392,EWAS-specific
cg09737078,EWAS-specific
cg09738947,Common
cg09743596,EWAS-specific
cg09772299,Common
cg09772333,Common
cg09774932,Common
cg09781936,Common
cg09799873,Common
cg09809672,Common
cg09814127,Common
cg09818588,EWAS-specific
cg09825979,Common
cg09827249,Common
cg09841774,Common
cg09842118,Common
cg09844573,Common
cg09853238,Common
cg09854726,Common
cg09859492,Common
cg09866695,Common
cg09881545,Common
cg09889997,Common
cg09890213,Common
cg09897970,EWAS-specific
cg09908750,EWAS-specific
cg09912512,Common
cg09916174,Common
cg09940311,Common
cg09946623,Common
cg09962809,Common
cg09977847,Common
cg09982419,EWAS-specific
cg09982773,EWAS-specific
cg09983216,Common
cg09991306,Common
cg09992746,Common
cg09993145,EWAS-specific
cg09996284,Common
cg10002860,EWAS-specific
cg10013501,Common
cg10021122,Common
cg10045881,Common
cg10055265,Common
cg10078009,Common
cg10078511,Common
cg10080728,EWAS-specific
cg10085474,Common
cg10091752,Common
cg10094994,Common
cg10095954,Common
cg10103528,Common
cg10111335,Common
cg10113526,Common
cg10120764,Common
cg10120897,EWAS-specific
cg10124355,Common
cg10125703,Common
cg10126903,Common
cg10129025,Common
cg10132838,haEWAS-specific
cg10133500,Common
cg10136560,Common
cg10138352,Common
cg10145584,Common
cg10147507,Common
cg10152131,Common
cg10156217,Common
cg10161111,Common
cg10165209,Common
cg10169763,EWAS-specific
cg10180281,Common
cg10192779,Common
cg10198479,Common
cg10203631,haEWAS-specific
cg10204725,Common
cg10210690,Common
cg10231067,Common
cg10237442,Common
cg10257110,Common
cg10257870,haEWAS-specific
cg10264529,Common
cg10271819,Common
cg10276834,haEWAS-specific
cg10278520,Common
cg10290679,Common
cg10292855,haEWAS-specific
cg10315249,Common
cg10316525,Common
cg10319053,Common
cg10322560,EWAS-specific
cg10327067,Common
cg10330187,Common
cg10331073,Common
cg10331082,Common
cg10334741,Common
cg10335493,EWAS-specific
cg10336925,EWAS-specific
cg10350880,Common
cg10380221,EWAS-specific
cg10380293,EWAS-specific
cg10396713,Common
cg10407585,haEWAS-specific
cg10411221,EWAS-specific
cg10413089,EWAS-specific
cg10430941,haEWAS-specific
cg10432569,Common
cg10432947,Common
cg10435245,EWAS-specific
cg10453019,Common
cg10453850,EWAS-specific
cg10454879,Common
cg10460657,Common
cg10464462,Common
cg10469774,Common
cg10473369,EWAS-specific
cg10474881,EWAS-specific
cg10477854,Common
cg10481202,Common
cg10499974,Common
cg10501093,Common
cg10504065,EWAS-specific
cg10506844,Common
cg10509607,Common
cg10513118,Common
cg10516886,Common
cg10522770,EWAS-specific
cg10539274,Common
cg10540679,Common
cg10548978,Common
cg10570158,Common
cg10571104,Common
cg10580691,haEWAS-specific
cg10583651,Common
cg10590292,haEWAS-specific
cg10592592,Common
cg10623913,EWAS-specific
cg10635786,haEWAS-specific
cg10639981,EWAS-specific
cg10643489,Common
cg10649130,Common
cg10661769,EWAS-specific
cg10662179,Common
cg10663408,EWAS-specific
cg10665892,EWAS-specific
cg10666916,Common
cg10673833,Common
cg10687107,Common
cg10700964,EWAS-specific
cg10704729,Common
cg10712554,EWAS-specific
cg10717869,Common
cg10718614,Common
cg10723431,Common
cg10730370,EWAS-specific
cg10732094,Common
cg10752406,EWAS-specific
cg10762038,Common
cg10782575,Common
cg10791696,Common
cg10792302,Common
cg10794257,Common
cg10794973,Common
cg10795710,EWAS-specific
cg10799440,Common
cg10812236,Common
cg10822172,Common
cg10847094,EWAS-specific
cg10850215,EWAS-specific
cg10894682,Common
cg10906729,EWAS-specific
cg10907744,Common
cg10908116,Common
cg10921702,EWAS-specific
cg10930101,Common
cg10937494,Common
cg10953410,Common
cg10969245,Common
cg10976218,Common
cg10993086,Common
cg10996039,Common
cg10999992,Common
cg11009736,Common
cg11015251,Common
cg11021305,haEWAS-specific
cg11027717,Common
cg11035122,haEWAS-specific
cg11036656,Common
cg11041817,Common
cg11050988,Common
cg11067407,Common
cg11075316,Common
cg11080456,Common
cg11081894,Common
cg11083848,Common
cg11113066,Common
cg11113589,Common
cg11130441,Common
cg11145399,EWAS-specific
cg11146691,Common
cg11147094,Common
cg11155432,Common
cg11155924,Common
cg11156230,haEWAS-specific
cg11160908,Common
cg11180921,Common
cg11183072,Common
cg11184109,Common
cg11192059,EWAS-specific
cg11195298,Common
cg11199014,Common
cg11201751,Common
cg11205200,haEWAS-specific
cg11205312,Common
cg11223747,EWAS-specific
cg11223933,EWAS-specific
cg11231069,Common
cg11231434,Common
cg11235594,Common
cg11236550,Common
cg11241278,Common
cg11249486,EWAS-specific
cg11264392,Common
cg11267546,Common
cg11270806,Common
cg11288831,Common
cg11297046,Common
cg11324650,Common
cg11328127,haEWAS-specific
cg11357670,Common
cg11360416,Common
cg11362622,Common
cg11372934,Common
cg11384661,EWAS-specific
cg11385938,Common
cg11405200,Common
cg11410682,Common
cg11410920,haEWAS-specific
cg11412129,Common
cg11432797,EWAS-specific
cg11435826,Common
cg11438310,Common
cg11442326,Common
cg11442608,Common
cg11444332,Common
cg11480762,Common
cg11481968,Common
cg11511175,Common
cg11512608,Common
cg11529819,haEWAS-specific
cg11532431,Common
cg11532433,Common
cg11546621,Common
cg11556846,EWAS-specific
cg11589536,Common
cg11589932,Common
cg11598403,Common
cg11598720,EWAS-specific
cg11600161,Common
cg11601000,Common
cg11606444,Common
cg11614451,Common
cg11623339,Common
cg11624708,EWAS-specific
cg11629889,Common
cg11632438,Common
cg11639950,Common
cg11644049,Common
cg11645532,Common
cg11647493,Common
cg11652496,Common
cg11672277,Common
cg11679871,Common
cg11680605,Common
cg11698750,haEWAS-specific
cg11699265,EWAS-specific
cg11724366,Common
cg11724984,EWAS-specific
cg11743675,Common
cg11744304,Common
cg11744817,Common
cg11748187,Common
cg11754676,EWAS-specific
cg11759937,EWAS-specific
cg11772801,Common
cg11779113,Common
cg11781335,Common
cg11788856,EWAS-specific
cg11802899,Common
cg11804789,Common
cg11820154,EWAS-specific
cg11823178,Common
cg11832281,Common
cg11833768,Common
cg11839415,Common
cg11850468,Common
cg11857320,Common
cg11859982,Common
cg11860434,Common
cg11866719,Common
cg11871991,EWAS-specific
cg11881599,Common
cg11894631,Common
cg11914795,Common
cg11920122,Common
cg11923441,Common
cg11929842,EWAS-specific
cg11949335,Common
cg11964461,EWAS-specific
cg11968792,EWAS-specific
cg11969213,Common
cg11971423,Common
cg11972564,Common
cg11986615,EWAS-specific
cg11988910,Common
cg12001120,Common
cg12005186,EWAS-specific
cg12015737,Common
cg12023692,EWAS-specific
cg12024906,EWAS-specific
cg12032027,EWAS-specific
cg12036735,Common
cg12037802,haEWAS-specific
cg12042264,Common
cg12047941,Common
cg12050271,EWAS-specific
cg12057127,Common
cg12061649,Common
cg12064929,haEWAS-specific
cg12070987,Common
cg12078157,Common
cg12078320,EWAS-specific
cg12082793,Common
cg12097989,Common
cg12109823,Common
cg12112234,Common
cg12113316,Common
cg12114584,Common
cg12116027,Common
cg12117817,haEWAS-specific
cg12119693,Common
cg12127196,Common
cg12127706,haEWAS-specific
cg12128839,Common
cg12133048,haEWAS-specific
cg12137220,Common
cg12140851,EWAS-specific
cg12146864,Common
cg12149986,EWAS-specific
cg12163800,Common
cg12165551,Common
cg12177677,Common
cg12185873,EWAS-specific
cg12207930,haEWAS-specific
cg12226948,Common
cg12229555,Common
cg12234455,Common
cg12236088,EWAS-specific
cg12253175,Common
cg12255897,Common
cg12258811,Common
cg12269535,Common
cg12274077,EWAS-specific
cg12276578,EWAS-specific
cg12283393,Common
cg12294118,Common
cg12305431,Common
cg12307200,Common
cg12309456,Common
cg12324629,haEWAS-specific
cg12331004,Common
cg12334013,Common
cg12338137,Common
cg12369091,haEWAS-specific
cg12381575,haEWAS-specific
cg12403162,haEWAS-specific
cg12414070,Common
cg12417549,Common
cg12436568,Common
cg12461568,EWAS-specific
cg12461930,Common
cg12476754,Common
cg12499316,Common
cg12504247,Common
cg12509665,Common
cg12516875,Common
cg12526474,Common
cg12537437,Common
cg12538674,Common
cg12554483,Common
cg12555086,Common
cg12562461,haEWAS-specific
cg12572295,Common
cg12572625,Common
cg12585943,EWAS-specific
cg12593411,Common
cg12603560,Common
cg12609829,Common
cg12610087,haEWAS-specific
cg12617080,Common
cg12619972,Common
cg12626589,Common
cg12628905,haEWAS-specific
cg12629796,Common
cg12634245,Common
cg12634306,Common
cg12642431,Common
cg12655375,Common
cg12655542,Common
cg12656227,haEWAS-specific
cg12656272,Common
cg12669543,Common
cg12681001,EWAS-specific
cg12682870,Common
cg12695465,Common
cg12706938,Common
cg12720971,Common
cg12727060,Common
cg12732514,Common
cg12733396,Common
cg12735838,EWAS-specific
cg12742432,Common
cg12748890,Common
cg12749863,haEWAS-specific
cg12753009,Common
cg12757143,EWAS-specific
cg12767109,Common
cg12776287,Common
cg12787553,Common
cg12793610,Common
cg12800012,Common
cg12805374,Common
cg12815916,EWAS-specific
cg12817389,Common
cg12858514,Common
cg12860635,EWAS-specific
cg12864235,Common
cg12870750,Common
cg12871285,Common
cg12872311,Common
cg12893780,EWAS-specific
cg12894126,Common
cg12910797,Common
cg12920361,Common
cg12920793,EWAS-specific
cg12926693,Common
cg12929160,Common
cg12929983,Common
cg12939901,Common
cg12945444,haEWAS-specific
cg12959048,Common
cg12968224,haEWAS-specific
cg12970171,haEWAS-specific
cg12984635,EWAS-specific
cg12987403,Common
cg12990614,EWAS-specific
cg13008174,Common
cg13013841,Common
cg13027206,Common
cg13043815,Common
cg13058214,Common
cg13060970,Common
cg13067714,Common
cg13076843,Common
cg13091627,Common
cg13092082,EWAS-specific
cg13102294,EWAS-specific
cg13104185,Common
cg13106389,Common
cg13117948,Common
cg13134916,EWAS-specific
cg13139986,Common
cg13150306,Common
cg13155490,EWAS-specific
cg13161113,Common
cg13165778,Common
cg13172549,Common
cg13179074,Common
cg13186130,Common
cg13187009,EWAS-specific
cg13203811,Common
cg13220900,Common
cg13228467,Common
cg13237068,Common
cg13239848,Common
cg13240116,Common
cg13241645,Common
cg13256491,Common
cg13257654,Common
cg13258131,EWAS-specific
cg13262752,haEWAS-specific
cg13264840,EWAS-specific
cg13280041,Common
cg13298466,Common
cg13301014,Common
cg13305951,Common
cg13313598,Common
cg13314965,Common
cg13318241,Common
cg13320146,Common
cg13327545,Common
cg13334727,Common
cg13341668,Common
cg13348944,Common
cg13355312,EWAS-specific
cg13356540,Common
cg13374901,Common
cg13379822,haEWAS-specific
cg13387826,Common
cg13390284,Common
cg13390975,EWAS-specific
cg13393721,Common
cg13404038,Common
cg13407335,Common
cg13408086,EWAS-specific
cg13410614,Common
cg13412545,Common
cg13415831,Common
cg13419330,haEWAS-specific
cg13420985,Common
cg13430807,Common
cg13431464,Common
cg13432205,haEWAS-specific
cg13439189,Common
cg13442749,Common
cg13444413,Common
cg13466002,Common
cg13477101,Common
cg13478737,Common
cg13488605,haEWAS-specific
cg13496862,EWAS-specific
cg13501446,Common
cg13519191,Common
cg13521229,Common
cg13522882,Common
cg13531667,haEWAS-specific
cg13538475,haEWAS-specific
cg13544075,Common
cg13545909,EWAS-specific
cg13562011,EWAS-specific
cg13565401,EWAS-specific
cg13571460,Common
cg13572782,Common
cg13572892,Common
cg13573745,Common
cg13578303,EWAS-specific
cg13579486,Common
cg13581362,Common
cg13583664,Common
cg13600201,Common
cg13603551,Common
cg13614409,Common
cg13622265,Common
cg13626863,Common
cg13638867,Common
cg13639901,Common
cg13647973,Common
cg13655923,haEWAS-specific
cg13661519,Common
cg13667243,EWAS-specific
cg13675469,haEWAS-specific
cg13682333,haEWAS-specific
cg13687570,Common
cg13690564,haEWAS-specific
cg13692134,Common
cg13699366,EWAS-specific
cg13702357,Common
cg13707760,EWAS-specific
cg13712197,EWAS-specific
cg13716585,Common
cg13719228,Common
cg13724311,haEWAS-specific
cg13725899,EWAS-specific
cg13736939,Common
cg13761949,haEWAS-specific
cg13771313,Common
cg13772515,Common
cg13775306,Common
cg13783444,Common
cg13793782,Common
cg13795831,Common
cg13796381,Common
cg13798289,haEWAS-specific
cg13802506,EWAS-specific
cg13805518,Common
cg13819552,Common
cg13823840,EWAS-specific
cg13824500,Common
cg13829419,Common
cg13836098,Common
cg13841587,EWAS-specific
cg13847853,Common
cg13848773,haEWAS-specific
cg13849066,Common
cg13851767,Common
cg13852775,EWAS-specific
cg13856674,EWAS-specific
cg13856810,EWAS-specific
cg13859433,Common
cg13862711,Common
cg13869942,EWAS-specific
cg13879455,Common
cg13896650,Common
cg13900763,EWAS-specific
cg13904214,Common
cg13911392,EWAS-specific
cg13912311,Common
cg13912480,EWAS-specific
cg13918235,haEWAS-specific
cg13925686,Common
cg13928306,Common
cg13933070,Common
cg13934406,EWAS-specific
cg13938959,Common
cg13942103,Common
cg13944805,Common
cg13946767,Common
cg13977320,haEWAS-specific
cg13984746,EWAS-specific
cg13985518,Common
cg13995854,EWAS-specific
cg13997435,Common
cg14002345,EWAS-specific
cg14009688,Common
cg14014506,Common
cg14015656,Common
cg14016031,EWAS-specific
cg14018153,EWAS-specific
cg14019523,EWAS-specific
cg14023009,EWAS-specific
cg14037769,Common
cg14042635,Common
cg14043602,haEWAS-specific
cg14051264,Common
cg14058329,Common
cg14063191,Common
cg14074251,Common
cg14074878,Common
cg14080585,Common
cg14083015,Common
cg14084689,EWAS-specific
cg14093103,Common
cg14095048,Common
cg14103343,Common
cg14109551,Common
cg14113970,Common
cg14129103,EWAS-specific
cg14133635,Common
cg14145338,Common
cg14154456,Common
cg14166009,EWAS-specific
cg14171369,Common
cg14171824,Common
cg14173968,Common
cg14182049,Common
cg14182841,haEWAS-specific
cg14186187,Common
cg14188840,Common
cg14192130,EWAS-specific
cg14200305,EWAS-specific
cg14204433,Common
cg14206172,Common
cg14207833,Common
cg14210454,Common
cg14214182,Common
cg14216068,Common
cg14217861,Common
cg14219918,Common
cg14230238,Common
cg14233720,Common
cg14236118,Common
cg14236758,Common
cg14282004,Common
cg14286208,Common
cg14292870,Common
cg14300812,Common
cg14311134,Common
cg14311559,Common
cg14324675,EWAS-specific
cg14335816,EWAS-specific
cg14341014,Common
cg14343266,Common
cg14359292,Common
cg14364926,haEWAS-specific
cg14385566,Common
cg14386061,Common
cg14386312,Common
cg14387626,EWAS-specific
cg14405137,haEWAS-specific
cg14424070,Common
cg14425733,Common
cg14428166,Common
cg14430943,Common
cg14441948,Common
cg14453187,EWAS-specific
cg14472181,Common
cg14481315,EWAS-specific
cg14482811,Common
cg14485097,EWAS-specific
cg14488317,Common
cg14491535,Common
cg14493637,Common
cg14498722,Common
cg14503489,Common
cg14510926,Common
cg14510967,Common
cg14512326,Common
cg14512870,Common
cg14513071,EWAS-specific
cg14517133,Common
cg14519350,Common
cg14519997,Common
cg14522800,Common
cg14536881,Common
cg14545305,haEWAS-specific
cg14556909,haEWAS-specific
cg14557202,Common
cg14561362,Common
cg14562086,Common
cg14599596,EWAS-specific
cg14601444,EWAS-specific
cg14619064,Common
cg14621323,Common
cg14622549,Common
cg14622996,EWAS-specific
cg14632586,Common
cg14644204,Common
cg14645545,Common
cg14647287,EWAS-specific
cg14647944,Common
cg14652095,Common
cg14652587,Common
cg14654385,EWAS-specific
cg14658964,EWAS-specific
cg14661234,Common
cg14662675,Common
cg14663914,EWAS-specific
cg14685948,EWAS-specific
cg14689324,haEWAS-specific
cg14694038,Common
cg14706297,EWAS-specific
cg14730223,Common
cg14732969,Common
cg14736087,haEWAS-specific
cg14736365,Common
cg14748380,Common
cg14751177,haEWAS-specific
cg14760176,Common
cg14762670,Common
cg14770389,haEWAS-specific
cg14771658,Common
cg14774117,Common
cg14776738,Common
cg14778169,Common
cg14780466,EWAS-specific
cg14786790,Common
cg14788673,Common
cg14792180,Common
cg14794735,Common
cg14795572,Common
cg14798653,Common
cg14814062,EWAS-specific
cg14827807,Common
cg14830003,Common
cg14836555,Common
cg14845962,Common
cg14855124,Common
cg14865516,haEWAS-specific
cg14871225,Common
cg14892066,haEWAS-specific
cg14902267,Common
cg14906690,Common
cg14909614,Common
cg14913610,Common
cg14916108,Common
cg14920846,Common
cg14935646,EWAS-specific
cg14938587,Common
cg14944696,EWAS-specific
cg14956327,Common
cg14962509,Common
cg14985891,Common
cg14997707,Common
cg15006828,Common
cg15013527,Common
cg15014975,Common
cg15028995,Common
cg15031685,Common
cg15033653,Common
cg15035133,Common
cg15035143,Common
cg15038286,Common
cg15046675,haEWAS-specific
cg15052890,Common
cg15060813,Common
cg15063687,Common
cg15066489,Common
cg15078329,Common
cg15080939,EWAS-specific
cg15094236,EWAS-specific
cg15096829,Common
cg15099037,Common
cg15102387,EWAS-specific
cg15108645,Common
cg15112783,Common
cg15117681,Common
cg15117739,Common
cg15121420,Common
cg15123573,Common
cg15125868,EWAS-specific
cg15131024,haEWAS-specific
cg15134120,haEWAS-specific
cg15139596,Common
cg15153141,Common
cg15161225,haEWAS-specific
cg15164194,Common
cg15169940,Common
cg15171154,Common
cg15172734,Common
cg15183660,haEWAS-specific
cg15193249,Common
cg15194531,Common
cg15195495,Common
cg15196806,Common
cg15197065,Common
cg15220969,EWAS-specific
cg15222091,EWAS-specific
cg15224432,Common
cg15240990,Common
cg15253293,Common
cg15254671,Common
cg15255390,Common
cg15262954,Common
cg15275312,Common
cg15279866,Common
cg15282973,Common
cg15286094,Common
cg15293750,haEWAS-specific
cg15305352,Common
cg15326452,haEWAS-specific
cg15329187,Common
cg15331705,Common
cg15340373,EWAS-specific
cg15343200,EWAS-specific
cg15343510,EWAS-specific
cg15346830,EWAS-specific
cg15348679,EWAS-specific
cg15352562,haEWAS-specific
cg15358372,EWAS-specific
cg15374751,Common
cg15378605,Common
cg15383520,haEWAS-specific
cg15390444,Common
cg15410236,Common
cg15425827,EWAS-specific
cg15435170,Common
cg15437741,Common
cg15439725,Common
cg15440157,Common
cg15443535,Common
cg15444185,Common
cg15450224,haEWAS-specific
cg15450445,Common
cg15460921,haEWAS-specific
cg15461663,EWAS-specific
cg15463580,Common
cg15463966,Common
cg15467116,Common
cg15467503,Common
cg15468423,Common
cg15475323,Common
cg15483436,haEWAS-specific
cg15488009,Common
cg15489693,Common
cg15503752,Common
cg15530669,EWAS-specific
cg15534366,EWAS-specific
cg15539944,Common
cg15548613,Common
cg15560495,Common
cg15575375,Common
cg15584221,EWAS-specific
cg15601264,Common
cg15602972,EWAS-specific
cg15610437,EWAS-specific
cg15614119,Common
cg15619439,Common
cg15624624,Common
cg15626350,Common
cg15630071,Common
cg15630458,Common
cg15645660,Common
cg15665792,haEWAS-specific
cg15673896,Common
cg15677087,haEWAS-specific
cg15683970,EWAS-specific
cg15696058,Common
cg15719339,Common
cg15722438,Common
cg15726700,Common
cg15736553,Common
cg15751131,Common
cg15751948,Common
cg15773312,haEWAS-specific
cg15798153,haEWAS-specific
cg15800421,haEWAS-specific
cg15800907,Common
cg15801251,EWAS-specific
cg15809217,EWAS-specific
cg15812586,Common
cg15814508,Common
cg15821544,Common
cg15829535,EWAS-specific
cg15831598,Common
cg15845071,Common
cg15871206,Common
cg15877233,Common
cg15891991,Common
cg15898874,Common
cg15901783,Common
cg15903784,haEWAS-specific
cg15911153,Common
cg15913645,haEWAS-specific
cg15936990,Common
cg15939920,EWAS-specific
cg15951469,Common
cg15954353,Common
cg15962969,Common
cg15967278,Common
cg15972148,EWAS-specific
cg15972301,EWAS-specific
cg15974867,Common
cg15978565,EWAS-specific
cg15982099,Common
cg15982700,Common
cg16001495,Common
cg16004467,Common
cg16014085,Common
cg16017089,Common
cg16021126,Common
cg16032408,Common
cg16038738,Common
cg16073427,Common
cg16098726,Common
cg16103712,Common
cg16104837,Common
cg16106427,Common
cg16109423,Common
cg16120196,haEWAS-specific
cg16122707,Common
cg16127683,Common
cg16129132,Common
cg16131053,Common
cg16133703,Common
cg16137564,Common
cg16140558,Common
cg16146033,Common
cg16153883,Common
cg16171281,Common
cg16175792,EWAS-specific
cg16179521,Common
cg16191087,Common
cg16192197,Common
cg16199747,Common
cg16207991,Common
cg16215084,EWAS-specific
cg16216407,Common
cg16224854,haEWAS-specific
cg16225099,Common
cg16227748,Common
cg16230352,Common
cg16234490,Common
cg16244648,Common
cg16246410,haEWAS-specific
cg16258854,Common
cg16260424,EWAS-specific
cg16266227,Common
cg16272420,Common
cg16290689,Common
cg16292132,Common
cg16302816,Common
cg16303562,Common
cg16305787,Common
cg16308533,EWAS-specific
cg16312900,Common
cg16315020,Common
cg16317038,Common
cg16324121,Common
cg16332065,Common
cg16332159,Common
cg16335098,EWAS-specific
cg16349827,haEWAS-specific
cg16356013,Common
cg16358034,Common
cg16361840,EWAS-specific
cg16383871,EWAS-specific
cg16385330,haEWAS-specific
cg16389078,haEWAS-specific
cg16393877,Common
cg16402452,Common
cg16402875,Common
cg16405432,EWAS-specific
cg16406967,Common
cg16439823,Common
cg16448636,EWAS-specific
cg16449243,Common
cg16459364,Common
cg16473166,haEWAS-specific
cg16484042,Common
cg16487097,Common
cg16491166,haEWAS-specific
cg16491739,EWAS-specific
cg16492341,Common
cg16495212,Common
cg16497661,EWAS-specific
cg16509569,haEWAS-specific
cg16513459,Common
cg16523490,Common
cg16527877,Common
cg16529323,Common
cg16536918,Common
cg16585682,Common
cg16586211,Common
cg16587707,Common
cg16588649,Common
cg16601359,Common
cg16602097,EWAS-specific
cg16603374,Common
cg16611352,EWAS-specific
cg16616467,EWAS-specific
cg16619378,Common
